river,year,month,water_fraction,water_pixels,total_pixels
Buzimba,1996,6,0.0,0,6621
Buzimba,1996,7,,0,0
Buzimba,1996,8,,0,0
Buzimba,1996,9,,0,0
Buzimba,1996,10,,0,0
Buzimba,1996,11,,0,0
Buzimba,1996,12,,0,0
Buzimba,1997,1,,0,0
Buzimba,1997,2,,0,0
Buzimba,1997,3,,0,0
Buzimba,1997,4,,0,0
Buzimba,1997,5,0.0,0,13860
Buzimba,1997,6,0.0,0,13860
Buzimba,1997,7,,0,0
Buzimba,1997,8,0.0,0,4
Buzimba,1997,9,,0,0
Buzimba,1997,10,,0,0
Buzimba,1997,11,,0,0
Buzimba,1997,12,,0,0
Buzimba,1998,1,,0,0
Buzimba,1998,2,,0,0
Buzimba,1998,3,,0,0
Buzimba,1998,4,,0,0
Buzimba,1998,5,,0,0
Buzimba,1998,6,,0,0
Buzimba,1998,7,0.0,0,13852
Buzimba,1998,8,,0,0
Buzimba,1998,9,0.0,0,13851
Buzimba,1998,10,0.0,0,13699
Buzimba,1998,11,0.0,0,2
Buzimba,1998,12,,0,0
Buzimba,1999,1,,0,0
Buzimba,1999,2,0.0,0,59
Buzimba,1999,3,,0,0
Buzimba,1999,4,,0,0
Buzimba,1999,5,,0,0
Buzimba,1999,6,,0,0
Buzimba,1999,7,0.0,0,376
Buzimba,1999,8,,0,0
Buzimba,1999,9,0.0,0,13860
Buzimba,1999,10,,0,0
Buzimba,1999,11,,0,0
Buzimba,1999,12,0.0,0,501
Buzimba,2000,1,,0,0
Buzimba,2000,2,,0,0
Buzimba,2000,3,0.0,0,13841
Buzimba,2000,4,0.0,0,11360
Buzimba,2000,5,0.0,0,13746
Buzimba,2000,6,,0,0
Buzimba,2000,7,,0,0
Buzimba,2000,8,0.0,0,5982
Buzimba,2000,9,0.0,0,13860
Buzimba,2000,10,0.0,0,604
Buzimba,2000,11,,0,0
Buzimba,2000,12,0.0,0,13398
Buzimba,2001,1,0.0,0,13860
Buzimba,2001,2,0.0,0,10375
Buzimba,2001,3,0.0,0,13860
Buzimba,2001,4,0.0,0,13707
Buzimba,2001,5,0.0,0,13245
Buzimba,2001,6,0.0,0,13860
Buzimba,2001,7,0.0,0,13860
Buzimba,2001,8,0.0,0,6529
Buzimba,2001,9,0.0,0,13860
Buzimba,2001,10,0.0,0,11922
Buzimba,2001,11,0.0,0,12623
Buzimba,2001,12,0.0,0,13860
Buzimba,2002,1,0.0,0,13370
Buzimba,2002,2,0.0,0,7008
Buzimba,2002,3,0.0,0,2601
Buzimba,2002,4,0.0,0,3267
Buzimba,2002,5,0.0,0,13860
Buzimba,2002,6,0.0,0,13860
Buzimba,2002,7,0.0,0,13860
Buzimba,2002,8,0.0,0,13168
Buzimba,2002,9,0.0,0,13860
Buzimba,2002,10,0.0,0,13167
Buzimba,2002,11,0.0,0,11793
Buzimba,2002,12,0.0,0,10853
Buzimba,2003,1,0.0,0,11145
Buzimba,2003,2,0.0,0,13860
Buzimba,2003,3,0.0,0,13860
Buzimba,2003,4,0.0,0,440
Buzimba,2003,5,,0,0
Buzimba,2003,6,,0,0
Buzimba,2003,7,0.0,0,11114
Buzimba,2003,8,,0,0
Buzimba,2003,9,,0,0
Buzimba,2003,10,0.0,0,3133
Buzimba,2003,11,0.0,0,13059
Buzimba,2003,12,0.0,0,13408
Buzimba,2004,1,,0,0
Buzimba,2004,2,0.0,0,6545
Buzimba,2004,3,,0,0
Buzimba,2004,4,0.0,0,445
Buzimba,2004,5,0.0,0,10490
Buzimba,2004,6,0.0,0,13860
Buzimba,2004,7,0.0,0,13860
Buzimba,2004,8,0.0,0,13860
Buzimba,2004,9,0.0,0,13860
Buzimba,2004,10,0.0,0,9079
Buzimba,2004,11,0.0,0,7982
Buzimba,2004,12,,0,0
Buzimba,2005,1,0.0,0,5332
Buzimba,2005,2,0.0,0,13280
Buzimba,2005,3,0.0,0,10485
Buzimba,2005,4,0.0,0,8009
Buzimba,2005,5,0.0,0,202
Buzimba,2005,6,0.0,0,13860
Buzimba,2005,7,0.0,0,13826
Buzimba,2005,8,0.0,0,13860
Buzimba,2005,9,0.0,0,13860
Buzimba,2005,10,0.0,0,13519
Buzimba,2005,11,0.0,0,13853
Buzimba,2005,12,0.0,0,1559
Buzimba,2006,1,0.0,0,8086
Buzimba,2006,2,0.0,0,8756
Buzimba,2006,3,0.0,0,9096
Buzimba,2006,4,0.0,0,13473
Buzimba,2006,5,0.0,0,13208
Buzimba,2006,6,0.0,0,13860
Buzimba,2006,7,0.0,0,13860
Buzimba,2006,8,0.0,0,13860
Buzimba,2006,9,0.0,0,13578
Buzimba,2006,10,0.0,0,8986
Buzimba,2006,11,,0,0
Buzimba,2006,12,,0,0
Buzimba,2007,1,0.0,0,13576
Buzimba,2007,2,0.0,0,13860
Buzimba,2007,3,0.0,0,13860
Buzimba,2007,4,0.0,0,1750
Buzimba,2007,5,0.0,0,10854
Buzimba,2007,6,0.0,0,13860
Buzimba,2007,7,0.0,0,9926
Buzimba,2007,8,0.0,0,9174
Buzimba,2007,9,0.0,0,268
Buzimba,2007,10,0.0,0,8135
Buzimba,2007,11,0.0,0,209
Buzimba,2007,12,0.0,0,1932
Buzimba,2008,1,0.0,0,4609
Buzimba,2008,2,0.0,0,13371
Buzimba,2008,3,0.0,0,9010
Buzimba,2008,4,0.0,0,5389
Buzimba,2008,5,0.0,0,13823
Buzimba,2008,6,0.0,0,13642
Buzimba,2008,7,0.0,0,13860
Buzimba,2008,8,0.0,0,12612
Buzimba,2008,9,0.0,0,13860
Buzimba,2008,10,,0,0
Buzimba,2008,11,,0,0
Buzimba,2008,12,0.0,0,13801
Buzimba,2009,1,0.0,0,11960
Buzimba,2009,2,0.0,0,2271
Buzimba,2009,3,0.0,0,12096
Buzimba,2009,4,,0,0
Buzimba,2009,5,0.0,0,7852
Buzimba,2009,6,0.0,0,13860
Buzimba,2009,7,0.0,0,13860
Buzimba,2009,8,0.0,0,9163
Buzimba,2009,9,0.0,0,13103
Buzimba,2009,10,0.0,0,1499
Buzimba,2009,11,0.0,0,10992
Buzimba,2009,12,0.0,0,1493
Buzimba,2010,1,0.0,0,13860
Buzimba,2010,2,0.0,0,13852
Buzimba,2010,3,,0,0
Buzimba,2010,4,0.0,0,8640
Buzimba,2010,5,0.0,0,12587
Buzimba,2010,6,0.0,0,9774
Buzimba,2010,7,0.0,0,7962
Buzimba,2010,8,0.0,0,13795
Buzimba,2010,9,0.0,0,8901
Buzimba,2010,10,0.0,0,9205
Buzimba,2010,11,0.0,0,4100
Buzimba,2010,12,0.0,0,5902
Buzimba,2011,1,0.0,0,11268
Buzimba,2011,2,0.0,0,12732
Buzimba,2011,3,0.0,0,13820
Buzimba,2011,4,0.0,0,13526
Buzimba,2011,5,0.0,0,8431
Buzimba,2011,6,0.0,0,9423
Buzimba,2011,7,0.0,0,13860
Buzimba,2011,8,0.0,0,9629
Buzimba,2011,9,0.0,0,12368
Buzimba,2011,10,0.0,0,9499
Buzimba,2011,11,0.0,0,0
Buzimba,2011,12,0.0,0,6300
Buzimba,2012,1,0.0,0,9277
Buzimba,2012,2,0.0,0,12452
Buzimba,2012,3,0.0,0,13860
Buzimba,2012,4,0.0,0,9210
Buzimba,2012,5,0.0,0,8793
Buzimba,2012,6,0.0,0,9705
Buzimba,2012,7,0.0,0,12372
Buzimba,2012,8,0.0,0,9402
Buzimba,2012,9,0.0,0,13860
Buzimba,2012,10,0.0,0,2341
Buzimba,2012,11,0.0,0,5617
Buzimba,2012,12,,0,0
Buzimba,2013,1,0.0,0,11027
Buzimba,2013,2,,0,0
Buzimba,2013,3,0.0,0,10661
Buzimba,2013,4,0.0,0,6291
Buzimba,2013,5,0.0,0,13860
Buzimba,2013,6,0.0,0,13860
Buzimba,2013,7,0.0,0,13860
Buzimba,2013,8,0.0,0,13860
Buzimba,2013,9,0.0,0,13860
Buzimba,2013,10,0.0,0,13860
Buzimba,2013,11,0.0,0,13860
Buzimba,2013,12,0.0,0,5503
Buzimba,2014,1,0.0,0,12085
Buzimba,2014,2,0.0,0,9753
Buzimba,2014,3,0.0,0,13743
Buzimba,2014,4,0.0,0,13451
Buzimba,2014,5,0.0,0,13799
Buzimba,2014,6,0.0,0,13860
Buzimba,2014,7,0.0,0,13860
Buzimba,2014,8,0.0,0,13860
Buzimba,2014,9,0.0,0,4778
Buzimba,2014,10,0.0,0,13284
Buzimba,2014,11,0.0,0,13755
Buzimba,2014,12,0.0,0,2930
Buzimba,2015,1,0.0,0,10035
Buzimba,2015,2,0.0,0,13857
Buzimba,2015,3,0.0,0,13551
Buzimba,2015,4,0.0,0,13859
Buzimba,2015,5,0.0,0,13857
Buzimba,2015,6,0.0,0,13860
Buzimba,2015,7,0.0,0,13860
Buzimba,2015,8,0.0,0,13860
Buzimba,2015,9,0.0,0,13860
Buzimba,2015,10,0.0,0,13860
Buzimba,2015,11,0.0,0,7989
Buzimba,2015,12,0.0,0,13418
Buzimba,2016,1,0.0,0,9491
Buzimba,2016,2,0.0,0,11383
Buzimba,2016,3,0.0,0,13857
Buzimba,2016,4,,0,0
Buzimba,2016,5,0.0,0,12684
Buzimba,2016,6,0.0,0,13860
Buzimba,2016,7,0.0,0,13860
Buzimba,2016,8,0.0,0,13860
Buzimba,2016,9,0.0,0,13860
Buzimba,2016,10,0.0,0,11574
Buzimba,2016,11,0.0,0,13860
Buzimba,2016,12,0.0,0,4746
Buzimba,2017,1,0.0,0,13831
Buzimba,2017,2,0.0,0,9372
Buzimba,2017,3,0.0,0,13860
Buzimba,2017,4,0.0,0,11252
Buzimba,2017,5,0.0,0,13858
Buzimba,2017,6,0.0,0,13860
Buzimba,2017,7,0.0,0,13860
Buzimba,2017,8,0.0,0,13860
Buzimba,2017,9,0.0,0,11715
Buzimba,2017,10,0.0,0,12800
Buzimba,2017,11,0.0,0,6696
Buzimba,2017,12,0.0,0,10406
Buzimba,2018,1,0.0,0,13858
Buzimba,2018,2,0.0,0,12080
Buzimba,2018,3,0.0,0,13859
Buzimba,2018,4,0.0,0,6602
Buzimba,2018,5,0.0,0,13848
Buzimba,2018,6,0.0,0,13860
Buzimba,2018,7,0.0,0,13860
Buzimba,2018,8,0.0,0,13860
Buzimba,2018,9,0.0,0,13860
Buzimba,2018,10,0.0,0,13173
Buzimba,2018,11,0.0,0,12858
Buzimba,2018,12,0.0,0,9136
Buzimba,2019,1,0.0,0,13551
Buzimba,2019,2,0.0,0,13859
Buzimba,2019,3,0.0,0,13427
Buzimba,2019,4,0.0,0,13856
Buzimba,2019,5,0.0,0,13837
Buzimba,2019,6,0.0,0,13860
Buzimba,2019,7,0.0,0,13860
Buzimba,2019,8,0.0,0,13860
Buzimba,2019,9,0.0,0,13856
Buzimba,2019,10,0.0,0,13860
Buzimba,2019,11,0.0,0,13860
Buzimba,2019,12,0.0,0,399
Buzimba,2020,1,0.0,0,13031
Buzimba,2020,2,0.0,0,13858
Buzimba,2020,3,0.0,0,4416
Buzimba,2020,4,0.0,0,9147
Buzimba,2020,5,0.0,0,13856
Buzimba,2020,6,0.0,0,13860
Buzimba,2020,7,0.0,0,13522
Buzimba,2020,8,0.0,0,13860
Buzimba,2020,9,0.0,0,13860
Buzimba,2020,10,0.0,0,13860
Buzimba,2020,11,0.0,0,6338
Buzimba,2020,12,0.000124,1,13301
Buzimba,2021,1,0.0,0,7516
Buzimba,2021,2,0.0,0,13704
Buzimba,2021,3,0.0,0,12317
Buzimba,2021,4,0.0,0,8927
Buzimba,2021,5,0.0,0,13840
Buzimba,2021,6,0.0,0,13859
Buzimba,2021,7,0.0,0,13858
Buzimba,2021,8,0.0,0,13859
Buzimba,2021,9,0.0,0,13860
Buzimba,2021,10,0.0,0,13860
Buzimba,2021,11,0.0,0,13850
Buzimba,2021,12,0.0,0,2400
Buzimba,2022,1,,0,0
Buzimba,2022,2,,0,0
Buzimba,2022,3,,0,0
Buzimba,2022,4,,0,0
Buzimba,2022,5,,0,0
Buzimba,2022,6,,0,0
Buzimba,2022,7,,0,0
Buzimba,2022,8,,0,0
Buzimba,2022,9,,0,0
Buzimba,2022,10,,0,0
Buzimba,2022,11,,0,0
Buzimba,2022,12,,0,0
Buzimba,2023,1,,0,0
Buzimba,2023,2,,0,0
Buzimba,2023,3,,0,0
Buzimba,2023,4,,0,0
Buzimba,2023,5,,0,0
Buzimba,2023,6,,0,0
Buzimba,2023,7,,0,0
Buzimba,2023,8,,0,0
Buzimba,2023,9,,0,0
Buzimba,2023,10,,0,0
Buzimba,2023,11,,0,0
Buzimba,2023,12,,0,0
Buzimba,2024,1,,0,0
Buzimba,2024,2,,0,0
Buzimba,2024,3,,0,0
Buzimba,2024,4,,0,0
Buzimba,2024,5,,0,0
Buzimba,2024,6,,0,0
Buzimba,2024,7,,0,0
Buzimba,2024,8,,0,0
Buzimba,2024,9,,0,0
Buzimba,2024,10,,0,0
Buzimba,2024,11,,0,0
Buzimba,2024,12,,0,0
Buzimba,2025,1,,0,0
Buzimba,2025,2,,0,0
Buzimba,2025,3,,0,0
Buzimba,2025,4,,0,0
Buzimba,2025,5,,0,0
Buzimba,2025,6,,0,0
Buzimba,2025,7,,0,0
Buzimba,2025,8,,0,0
Buzimba,2025,9,,0,0
Buzimba,2025,10,,0,0
Buzimba,2025,11,,0,0
Buzimba,2025,12,,0,0
Jiji,1984,1,,0,0
Jiji,1984,2,,0,0
Jiji,1984,3,,0,0
Jiji,1984,4,,0,0
Jiji,1984,5,,0,0
Jiji,1984,6,0.0,0,13858
Jiji,1984,7,0.0,0,56
Jiji,1984,8,,0,0
Jiji,1984,9,,0,0
Jiji,1984,10,,0,0
Jiji,1984,11,,0,0
Jiji,1984,12,0.0,0,15
Jiji,1985,1,,0,0
Jiji,1985,2,,0,0
Jiji,1985,3,,0,0
Jiji,1985,4,,0,0
Jiji,1985,5,,0,0
Jiji,1985,6,,0,0
Jiji,1985,7,,0,0
Jiji,1985,8,,0,0
Jiji,1985,9,,0,0
Jiji,1985,10,,0,0
Jiji,1985,11,,0,0
Jiji,1985,12,,0,0
Jiji,1986,1,0.0,0,13446
Jiji,1986,2,,0,0
Jiji,1986,3,,0,0
Jiji,1986,4,,0,0
Jiji,1986,5,,0,0
Jiji,1986,6,,0,0
Jiji,1986,7,0.0,0,13571
Jiji,1986,8,,0,0
Jiji,1986,9,,0,0
Jiji,1986,10,,0,0
Jiji,1986,11,0.0,0,12419
Jiji,1986,12,0.0,0,11995
Jiji,1987,1,0.0,0,10983
Jiji,1987,2,0.0,0,11771
Jiji,1987,3,,0,0
Jiji,1987,4,,0,0
Jiji,1987,5,,0,0
Jiji,1987,6,,0,0
Jiji,1987,7,,0,0
Jiji,1987,8,,0,0
Jiji,1987,9,,0,0
Jiji,1987,10,,0,0
Jiji,1987,11,,0,0
Jiji,1987,12,,0,0
Jiji,1988,1,,0,0
Jiji,1988,2,,0,0
Jiji,1988,3,,0,0
Jiji,1988,4,,0,0
Jiji,1988,5,,0,0
Jiji,1988,6,,0,0
Jiji,1988,7,,0,0
Jiji,1988,8,,0,0
Jiji,1988,9,,0,0
Jiji,1988,10,,0,0
Jiji,1988,11,,0,0
Jiji,1988,12,,0,0
Jiji,1989,1,,0,0
Jiji,1989,2,,0,0
Jiji,1989,3,,0,0
Jiji,1989,4,,0,0
Jiji,1989,5,,0,0
Jiji,1989,6,,0,0
Jiji,1989,7,,0,0
Jiji,1989,8,,0,0
Jiji,1989,9,0.0,0,13775
Jiji,1989,10,,0,0
Jiji,1989,11,,0,0
Jiji,1989,12,,0,0
Jiji,1990,1,,0,0
Jiji,1990,2,,0,0
Jiji,1990,3,,0,0
Jiji,1990,4,,0,0
Jiji,1990,5,,0,0
Jiji,1990,6,0.0,0,12622
Jiji,1990,7,0.0,0,13693
Jiji,1990,8,,0,0
Jiji,1990,9,0.0,0,256
Jiji,1990,10,,0,0
Jiji,1990,11,,0,0
Jiji,1990,12,,0,0
Jiji,1991,1,,0,0
Jiji,1991,2,,0,0
Jiji,1991,3,,0,0
Jiji,1991,4,,0,0
Jiji,1991,5,,0,0
Jiji,1991,6,,0,0
Jiji,1991,7,,0,0
Jiji,1991,8,0.0,0,13808
Jiji,1991,9,,0,0
Jiji,1991,10,,0,0
Jiji,1991,11,,0,0
Jiji,1991,12,,0,0
Jiji,1992,1,,0,0
Jiji,1992,2,,0,0
Jiji,1992,3,,0,0
Jiji,1992,4,,0,0
Jiji,1992,5,,0,0
Jiji,1992,6,,0,0
Jiji,1992,7,,0,0
Jiji,1992,8,0.0,0,12949
Jiji,1992,9,,0,0
Jiji,1992,10,,0,0
Jiji,1992,11,,0,0
Jiji,1992,12,,0,0
Jiji,1993,1,0.0,0,697
Jiji,1993,2,0.0,0,109
Jiji,1993,3,,0,0
Jiji,1993,4,,0,0
Jiji,1993,5,0.0,0,965
Jiji,1993,6,,0,0
Jiji,1993,7,0.0,0,13851
Jiji,1993,8,0.0,0,13858
Jiji,1993,9,0.0,0,13858
Jiji,1993,10,,0,0
Jiji,1993,11,0.0,0,8985
Jiji,1993,12,,0,0
Jiji,1994,1,,0,0
Jiji,1994,2,,0,0
Jiji,1994,3,,0,0
Jiji,1994,4,0.0,0,7969
Jiji,1994,5,,0,0
Jiji,1994,6,,0,0
Jiji,1994,7,0.0,0,3501
Jiji,1994,8,0.0,0,13858
Jiji,1994,9,0.0,0,13858
Jiji,1994,10,,0,0
Jiji,1994,11,0.0,0,206
Jiji,1994,12,,0,0
Jiji,1995,1,0.0,0,13858
Jiji,1995,2,,0,0
Jiji,1995,3,0.0,0,11816
Jiji,1995,4,0.0,0,8177
Jiji,1995,5,,0,0
Jiji,1995,6,,0,0
Jiji,1995,7,,0,0
Jiji,1995,8,0.0,0,13858
Jiji,1995,9,0.0,0,13858
Jiji,1995,10,,0,0
Jiji,1995,11,,0,0
Jiji,1995,12,,0,0
Jiji,1996,1,,0,0
Jiji,1996,2,,0,0
Jiji,1996,3,0.0,0,10124
Jiji,1996,4,,0,0
Jiji,1996,5,,0,0
Jiji,1996,6,0.0,0,13858
Jiji,1996,7,,0,0
Jiji,1996,8,,0,0
Jiji,1996,9,,0,0
Jiji,1996,10,,0,0
Jiji,1996,11,,0,0
Jiji,1996,12,,0,0
Jiji,1997,1,0.0,0,13858
Jiji,1997,2,0.0,0,517
Jiji,1997,3,,0,0
Jiji,1997,4,0.0,0,2
Jiji,1997,5,0.0,0,6332
Jiji,1997,6,0.0,0,13855
Jiji,1997,7,,0,0
Jiji,1997,8,0.0,0,13858
Jiji,1997,9,,0,0
Jiji,1997,10,,0,0
Jiji,1997,11,,0,0
Jiji,1997,12,,0,0
Jiji,1998,1,,0,0
Jiji,1998,2,,0,0
Jiji,1998,3,,0,0
Jiji,1998,4,,0,0
Jiji,1998,5,,0,0
Jiji,1998,6,0.0,0,13858
Jiji,1998,7,0.0,0,11943
Jiji,1998,8,0.0,0,13616
Jiji,1998,9,0.0,0,13858
Jiji,1998,10,0.0,0,2924
Jiji,1998,11,0.0,0,1124
Jiji,1998,12,,0,0
Jiji,1999,1,,0,0
Jiji,1999,2,0.0,0,2412
Jiji,1999,3,,0,0
Jiji,1999,4,,0,0
Jiji,1999,5,,0,0
Jiji,1999,6,,0,0
Jiji,1999,7,0.0,0,11351
Jiji,1999,8,,0,0
Jiji,1999,9,0.0,0,11801
Jiji,1999,10,,0,0
Jiji,1999,11,,0,0
Jiji,1999,12,0.0,0,13858
Jiji,2000,1,,0,0
Jiji,2000,2,,0,0
Jiji,2000,3,,0,0
Jiji,2000,4,0.0,0,7856
Jiji,2000,5,,0,0
Jiji,2000,6,,0,0
Jiji,2000,7,,0,0
Jiji,2000,8,0.0,0,438
Jiji,2000,9,0.0,0,13858
Jiji,2000,10,0.0,0,13858
Jiji,2000,11,,0,0
Jiji,2000,12,0.0,0,10
Jiji,2001,1,,0,0
Jiji,2001,2,0.0,0,12296
Jiji,2001,3,0.0,0,949
Jiji,2001,4,0.0,0,7535
Jiji,2001,5,0.0,0,12963
Jiji,2001,6,,0,0
Jiji,2001,7,,0,0
Jiji,2001,8,0.0,0,3943
Jiji,2001,9,,0,0
Jiji,2001,10,0.0,0,13858
Jiji,2001,11,,0,0
Jiji,2001,12,,0,0
Jiji,2002,1,0.0,0,48
Jiji,2002,2,0.0,0,10447
Jiji,2002,3,,0,0
Jiji,2002,4,,0,0
Jiji,2002,5,0.0,0,13858
Jiji,2002,6,0.0,0,10520
Jiji,2002,7,0.0,0,578
Jiji,2002,8,0.0,0,13858
Jiji,2002,9,0.0,0,13858
Jiji,2002,10,0.0,0,8135
Jiji,2002,11,0.0,0,4551
Jiji,2002,12,0.0,0,4213
Jiji,2003,1,0.0,0,9419
Jiji,2003,2,0.0,0,13858
Jiji,2003,3,0.0,0,7319
Jiji,2003,4,,0,0
Jiji,2003,5,,0,0
Jiji,2003,6,,0,0
Jiji,2003,7,0.0,0,8935
Jiji,2003,8,,0,0
Jiji,2003,9,,0,0
Jiji,2003,10,0.0,0,6402
Jiji,2003,11,0.0,0,13852
Jiji,2003,12,0.0,0,2074
Jiji,2004,1,,0,0
Jiji,2004,2,0.0,0,12301
Jiji,2004,3,,0,0
Jiji,2004,4,0.0,0,7291
Jiji,2004,5,0.0,0,13853
Jiji,2004,6,0.0,0,13858
Jiji,2004,7,0.0,0,12627
Jiji,2004,8,0.0,0,13475
Jiji,2004,9,0.0,0,12784
Jiji,2004,10,0.0,0,8946
Jiji,2004,11,,0,0
Jiji,2004,12,0.0,0,6886
Jiji,2005,1,,0,0
Jiji,2005,2,0.0,0,7542
Jiji,2005,3,0.0,0,11981
Jiji,2005,4,0.0,0,13298
Jiji,2005,5,0.0,0,5060
Jiji,2005,6,0.0,0,13858
Jiji,2005,7,0.0,0,13766
Jiji,2005,8,0.0,0,11516
Jiji,2005,9,0.0,0,13858
Jiji,2005,10,0.0,0,13816
Jiji,2005,11,0.0,0,11669
Jiji,2005,12,0.0,0,471
Jiji,2006,1,,0,0
Jiji,2006,2,0.0,0,879
Jiji,2006,3,,0,0
Jiji,2006,4,0.0,0,352
Jiji,2006,5,0.0,0,6697
Jiji,2006,6,0.0,0,12412
Jiji,2006,7,0.0,0,13858
Jiji,2006,8,0.0,0,12278
Jiji,2006,9,0.0,0,12463
Jiji,2006,10,0.0,0,36
Jiji,2006,11,,0,0
Jiji,2006,12,,0,0
Jiji,2007,1,0.0,0,10467
Jiji,2007,2,0.0,0,8746
Jiji,2007,3,0.0,0,4767
Jiji,2007,4,,0,0
Jiji,2007,5,0.0,0,5988
Jiji,2007,6,0.0,0,13858
Jiji,2007,7,0.0,0,11539
Jiji,2007,8,0.0,0,13601
Jiji,2007,9,0.0,0,648
Jiji,2007,10,0.0,0,3911
Jiji,2007,11,,0,0
Jiji,2007,12,0.0,0,3573
Jiji,2008,1,,0,0
Jiji,2008,2,0.0,0,11728
Jiji,2008,3,0.0,0,4718
Jiji,2008,4,,0,0
Jiji,2008,5,0.0,0,4217
Jiji,2008,6,0.0,0,13858
Jiji,2008,7,0.0,0,13513
Jiji,2008,8,0.0,0,13832
Jiji,2008,9,0.0,0,13387
Jiji,2008,10,0.0,0,168
Jiji,2008,11,,0,0
Jiji,2008,12,0.0,0,6367
Jiji,2009,1,0.0,0,13370
Jiji,2009,2,0.0,0,7025
Jiji,2009,3,0.0,0,132
Jiji,2009,4,,0,0
Jiji,2009,5,0.0,0,6234
Jiji,2009,6,0.0,0,13858
Jiji,2009,7,0.0,0,13608
Jiji,2009,8,0.0,0,6637
Jiji,2009,9,0.0,0,5589
Jiji,2009,10,0.0,0,1740
Jiji,2009,11,0.0,0,11536
Jiji,2009,12,0.0,0,3217
Jiji,2010,1,0.0,0,13544
Jiji,2010,2,0.0,0,10582
Jiji,2010,3,,0,0
Jiji,2010,4,,0,0
Jiji,2010,5,0.0,0,13230
Jiji,2010,6,0.0,0,7758
Jiji,2010,7,0.0,0,9875
Jiji,2010,8,0.0,0,13524
Jiji,2010,9,0.0,0,1236
Jiji,2010,10,0.0,0,6306
Jiji,2010,11,,0,0
Jiji,2010,12,0.0,0,2375
Jiji,2011,1,0.0,0,12057
Jiji,2011,2,0.0,0,13858
Jiji,2011,3,0.0,0,11753
Jiji,2011,4,0.0,0,9064
Jiji,2011,5,0.0,0,3787
Jiji,2011,6,0.0,0,10399
Jiji,2011,7,0.0,0,13858
Jiji,2011,8,0.0,0,11355
Jiji,2011,9,0.0,0,3655
Jiji,2011,10,0.0,0,12195
Jiji,2011,11,0.0,0,11
Jiji,2011,12,0.0,0,159
Jiji,2012,1,0.0,0,9871
Jiji,2012,2,0.0,0,8076
Jiji,2012,3,0.0,0,11856
Jiji,2012,4,0.0,0,5066
Jiji,2012,5,,0,0
Jiji,2012,6,0.0,0,8381
Jiji,2012,7,0.0,0,12588
Jiji,2012,8,0.0,0,8476
Jiji,2012,9,0.0,0,11058
Jiji,2012,10,,0,0
Jiji,2012,11,0.0,0,3546
Jiji,2012,12,,0,0
Jiji,2013,1,0.0,0,9064
Jiji,2013,2,,0,0
Jiji,2013,3,0.0,0,11178
Jiji,2013,4,0.0,0,7436
Jiji,2013,5,0.0,0,13132
Jiji,2013,6,0.0,0,13858
Jiji,2013,7,0.0,0,13858
Jiji,2013,8,0.0,0,13858
Jiji,2013,9,0.0,0,13850
Jiji,2013,10,0.0,0,13858
Jiji,2013,11,0.0,0,8112
Jiji,2013,12,0.0,0,6720
Jiji,2014,1,0.0,0,10580
Jiji,2014,2,0.0,0,1231
Jiji,2014,3,0.0,0,10805
Jiji,2014,4,0.0,0,12106
Jiji,2014,5,0.0,0,13065
Jiji,2014,6,0.0,0,13858
Jiji,2014,7,0.0,0,13858
Jiji,2014,8,0.0,0,13858
Jiji,2014,9,0.0,0,13858
Jiji,2014,10,0.0,0,13837
Jiji,2014,11,0.0,0,13819
Jiji,2014,12,0.0,0,3934
Jiji,2015,1,0.0,0,10977
Jiji,2015,2,0.0,0,12604
Jiji,2015,3,0.0,0,11253
Jiji,2015,4,0.0,0,11414
Jiji,2015,5,0.0,0,13272
Jiji,2015,6,0.0,0,13858
Jiji,2015,7,0.0,0,13858
Jiji,2015,8,0.0,0,13858
Jiji,2015,9,0.0,0,13858
Jiji,2015,10,0.0,0,13847
Jiji,2015,11,0.0,0,8801
Jiji,2015,12,0.0,0,10355
Jiji,2016,1,0.0,0,10862
Jiji,2016,2,0.0,0,5761
Jiji,2016,3,0.0,0,13785
Jiji,2016,4,0.0,0,3865
Jiji,2016,5,0.0,0,12093
Jiji,2016,6,0.0,0,13858
Jiji,2016,7,0.0,0,13858
Jiji,2016,8,0.0,0,13858
Jiji,2016,9,0.0,0,13858
Jiji,2016,10,0.0,0,13701
Jiji,2016,11,0.0,0,9767
Jiji,2016,12,0.0,0,13802
Jiji,2017,1,0.0,0,13185
Jiji,2017,2,0.0,0,13849
Jiji,2017,3,0.0,0,13827
Jiji,2017,4,0.0,0,11052
Jiji,2017,5,0.0,0,12019
Jiji,2017,6,0.0,0,13858
Jiji,2017,7,0.0,0,13858
Jiji,2017,8,0.0,0,13770
Jiji,2017,9,0.0,0,12812
Jiji,2017,10,0.0,0,8365
Jiji,2017,11,0.0,0,11155
Jiji,2017,12,0.0,0,4773
Jiji,2018,1,0.0,0,13348
Jiji,2018,2,0.0,0,13106
Jiji,2018,3,0.0,0,13858
Jiji,2018,4,0.0,0,32
Jiji,2018,5,0.0,0,13710
Jiji,2018,6,0.0,0,13858
Jiji,2018,7,0.0,0,13858
Jiji,2018,8,0.0,0,13858
Jiji,2018,9,0.0,0,13858
Jiji,2018,10,0.0,0,13851
Jiji,2018,11,0.0,0,10893
Jiji,2018,12,0.0,0,11094
Jiji,2019,1,0.0,0,10689
Jiji,2019,2,0.0,0,11777
Jiji,2019,3,0.0,0,13858
